word,fr,it,es,de,pl,cs,category
cherry,cerise,ciliegia,cereza,Kirsche,wiśniowy,třešeň,fruits
coconut,noix de coco,noce di cocco,Coco,Kokosnuss,orzech kokosowy,kokos,fruits
pear,poire,pera,pera,Birne,gruszka,hruška,fruits
strawberry,fraise,fragola,fresa,Erdbeere,truskawka,jahoda,fruits
peach,pêche,pesca,durazno,Pfirsich,brzoskwinia,broskev,fruits
guava,goyave,guaiava,guayaba,Guave,guawa,guava,fruits
quince,coing,mela cotogna,membrillo,Quitte,pigwa,kdoule,fruits
lychee,litchi,litchi,lychee,Litschi,liczi,liči,fruits
melon,melon,melone,melón,Melone,melon,meloun,fruits
date,date,data,fecha,Datum,data,datum,fruits
sunflower,tournesol,girasole,girasol,Sonnenblume,słonecznik,slunečnice,fruits
atemoya,Atémoya,atemoia,atemoya,Abonnieren,atemoja,atemoya,fruits
satsuma,Satsuma,mandarino,mandarina,Satsuma,mandarynka,satsuma,fruits
cantaloupe,cantaloup,Cantalupo,cantalupo,Kantalupe,kantalupa,ananasový meloun,fruits
clementine,clémentine,clementina,clementina,Clementine,mandarynka,klementinka,fruits
mulberry,mûre,gelso,mora,Maulbeere,morwa,moruše,fruits
rambutan,ramboutan,rambutan,rambután,Rambutan,rambutan,rambutan,fruits
fig,figue,Fico,higo,Feige,figa,Obr,fruits
jackfruit,jacquier,frutto del jack,yaca,Jackfrucht,chlebowiec,jackfruit,fruits
lemon,citron,limone,limón,Zitrone,cytrynowy,citrón,fruits
longan,longane,longano,Longán,longan,Longan,longan,fruits
bael,bael,bael,Bael,bael,bełkot,bael,fruits
